-1hsunpZRB5545z2cEU9Aw,5hOhYW3728u9kT4lZ-vvig,Chotto Matte Toronto,3.5,57,1,2019-10-10 23:16:27,aXHOf604E3Vo7FIUm1f1VQ,2.0,4.4,"",Akash,5
-73KW-ZU8xPGrofMtDr0Dw,hcHaWzM5wfdAbCWs4zmmqg,Nodo Restaurant,4.0,168,1,2016-12-21 04:09:45,XK2pVrdbsHKgNdaG3Vf0cQ,2.0,3.0,"",Sarah,4
-73KW-ZU8xPGrofMtDr0Dw,iZJ5pdY558VodrEumGyVug,Nazareth Bar,4.0,204,0,2016-08-06 11:28:51,b7DN-v3JSu9X9tAucTCkGg,3.0,3.0,"",Sarah,4
-73KW-ZU8xPGrofMtDr0Dw,7cMnc_zSPenfSQa9_199CA,Bloomer's,4.0,135,1,2016-04-21 15:41:57,i1ufRs1ykiCSxa5nGgC8Zg,2.0,3.0,"",Sarah,4
-BLfzflMjm7n4bfBD0uKjA,e-YnECeZNt8ngm0tu4X9mQ,Korean Grill House,3.0,97,0,2016-01-02 22:15:51,vzcY0M6I2RklgE2iT4qHLA,1.0,1.0,"",J,1
-P2dgx13yTUiDSwx00aECg,KMEvwN9hzkBVUGXqKZWxoQ,Grill Gate,4.5,107,1,2018-11-09 01:53:14,EV1lYY_wjyGRAhtlTQUFTQ,5.0,5.0,"",Elif,2
-h5ouyM0tkUDyhTtVyf9Mg,zJIv1GZogXv8j__XRyVi6A,Cora,3.5,154,1,2013-03-17 14:16:53,KRIX6e3iHqD_hZHAuiOctA,4.0,3.43,"",Andy,6
-t5FbvH6XytVtW1dtxN0MQ,Cx0o524EbpLh8Luvjx6DMw,Parallel,4.0,62,1,2019-04-15 12:37:19,0Qj7Qqjc6oaKcuHOfBerTw,3.0,3.5,"",Bee,22
-t5FbvH6XytVtW1dtxN0MQ,oYWy-hOTCOF7h8DCAZ_Mxw,Cool Hand of a Girl,3.5,48,1,2017-08-25 11:57:25,RrK5qnAGWxcKexPfHohN3w,2.0,3.5,"",Bee,22
-t5FbvH6XytVtW1dtxN0MQ,uMtemf94DJou9cS14fMw9Q,Oakwood Hardware Food & Drink,4.0,35,1,2017-08-03 02:37:26,G4i3m2R5MJ4pSjMKxejsZA,4.0,3.5,"",Bee,22
-t5FbvH6XytVtW1dtxN0MQ,rxA9c0_XObabVL1WCTA4FA,Sneaky Dee's,3.5,442,1,2019-10-13 16:55:58,DY-mXM0mQ2tHITRVwszilA,3.0,3.5,"",Bee,22
-t5FbvH6XytVtW1dtxN0MQ,rxA9c0_XObabVL1WCTA4FA,Sneaky Dee's,3.5,442,1,2016-08-15 20:11:46,q-vXfPFfYs9YInHnsa54Ag,4.0,3.5,"",Bee,22
-t5FbvH6XytVtW1dtxN0MQ,I_3P0ns6_3najPBxn629nw,Grillway Subs & Burgers,4.0,37,0,2016-08-15 20:02:39,IzlmIlwSe738_bLJUmK0qg,5.0,3.5,"",Bee,22
-t5FbvH6XytVtW1dtxN0MQ,wStBPd_7GfhPK2V_pTX0nQ,Vena's Restaurant,4.0,33,1,2017-08-21 16:29:18,gEVEL3oT9aHhFEqOlouFew,5.0,3.5,"",Bee,22
-t5FbvH6XytVtW1dtxN0MQ,s8N66BJ9P-sqhisX47o1Sg,Roti Time,3.5,57,1,2016-08-15 20:05:22,3nfUVziCDkjGERNVgjEGwQ,5.0,3.5,"",Bee,22
-t5FbvH6XytVtW1dtxN0MQ,PyjnsWzNUTo1n2ohq0QznA,Dirty Food Eatery,4.5,99,1,2017-11-11 16:01:06,S80cHEDITT_XWznmhJ1GDQ,5.0,3.5,"",Bee,22
-t5FbvH6XytVtW1dtxN0MQ,i4FFYOxftieBhKdcXc_0iA,Annie's Cuisine,4.0,26,0,2016-08-19 16:54:41,UP455WuqvwOPt9Cq0wb0lQ,5.0,3.5,"",Bee,22
-t5FbvH6XytVtW1dtxN0MQ,L8W83-wPFLMs457cAu60Eg,Campo,4.0,48,1,2016-11-24 02:20:49,qVeLjoR-B2SW5j4mgWaz6Q,3.0,3.5,"",Bee,22
